sales_month,product_category_name,total_revenue,monthly_rank
2017-07,moveis_decoracao,24028.12,7
2017-07,brinquedos,23956.84,8
2017-07,utilidades_domesticas,20251.53,9
2017-07,ferramentas_jardim,18951.3,10
2017-07,moveis_escritorio,16892.61,11
2017-07,bebes,15461.41,12
2017-07,automotivo,13886.85,13
2017-07,perfumaria,12734.25,14
2017-07,telefonia,9052.87,15
2017-07,malas_acessorios,8311.71,16
2017-07,instrumentos_musicais,7282.59,17
2017-07,eletronicos,7266.04,18
2017-07,papelaria,6906.85,19
2017-07,pet_shop,6575.97,20
2017-07,consoles_games,5411.24,21
2017-07,fashion_bolsas_e_acessorios,5063.21,22
2017-07,casa_conforto,4563.85,23
2017-07,moveis_sala,3826.12,24
2017-07,eletrodomesticos,3671.99,25
2017-07,eletroportateis,3587.23,26
2017-07,,2967.86,27
2017-07,market_place,1573.38,28
2017-07,climatizacao,1396.1,29
2017-07,moveis_cozinha_area_de_servico_jantar_e_jardim,1316.5,30
2017-07,livros_interesse_geral,1292.4,31
2017-07,fashion_calcados,1283.02,32
2017-07,agro_industria_e_comercio,1180.0,33
2017-07,moveis_quarto,1077.99,34
2017-07,eletrodomesticos_2,1033.99,35
2017-07,dvds_blu_ray,732.8,36
2017-07,fashion_roupa_masculina,719.99,37
2017-07,audio,673.69,38
2017-07,alimentos,584.16,39
2017-07,construcao_ferramentas_construcao,549.44,40
2017-07,livros_tecnicos,528.0,41
2017-07,sinalizacao_e_seguranca,475.91,42
2017-07,la_cuisine,469.99,43
2017-07,artes,386.75,44
2017-07,construcao_ferramentas_iluminacao,360.0,45
2017-07,construcao_ferramentas_jardim,347.58,46
2017-07,musica,329.0,47
2017-07,fashion_roupa_feminina,310.7,48
2017-07,fashion_underwear_e_moda_praia,274.8,49
2017-07,bebidas,273.97,50
2017-07,industria_comercio_e_negocios,245.96,51
2017-07,cds_dvds_musicais,225.0,52
2017-07,telefonia_fixa,218.73,53
2017-07,tablets_impressao_imagem,198.0,54
2017-07,alimentos_bebidas,168.2,55
2017-07,artes_e_artesanato,129.9,56
2017-07,moveis_colchao_e_estofado,109.4,57
2017-07,casa_construcao,93.6,58
2017-07,artigos_de_festas,69.9,59
2017-07,fashion_esporte,69.9,59
2017-07,artigos_de_natal,65.09,60
2017-07,casa_conforto_2,12.9,61
2017-08,cama_mesa_banho,56580.63,1
2017-08,beleza_saude,49030.23,2
2017-08,esporte_lazer,40624.77,3
2017-08,cool_stuff,38264.51,4
2017-08,relogios_presentes,36170.95,5
2017-08,informatica_acessorios,33826.47,6
2017-08,moveis_decoracao,33595.89,7
2017-08,pcs,32400.0,8
2017-08,utilidades_domesticas,23427.84,9
2017-08,ferramentas_jardim,22920.93,10
2017-08,bebes,19160.1,11
2017-08,automotivo,18922.61,12
2017-08,brinquedos,17675.37,13
2017-08,perfumaria,13085.1,14
2017-08,telefonia,10553.31,15
2017-08,pet_shop,10425.79,16
2017-08,moveis_escritorio,9877.36,17
2017-08,consoles_games,8054.75,18
2017-08,instrumentos_musicais,7089.55,19
2017-08,malas_acessorios,6533.1,20
2017-08,fashion_bolsas_e_acessorios,6438.89,21
2017-08,papelaria,6366.91,22
2017-08,,4968.45,23
2017-08,eletroportateis,4297.01,24
2017-08,climatizacao,4271.73,25
2017-08,casa_conforto,4000.19,26
2017-08,eletrodomesticos,3921.35,27
2017-08,eletrodomesticos_2,3686.55,28
2017-08,telefonia_fixa,3343.54,29
2017-08,eletronicos,2854.15,30
2017-08,moveis_sala,2478.07,31
2017-08,livros_interesse_geral,2275.0,32
2017-08,market_place,1937.39,33
2017-08,fashion_calcados,1491.69,34
2017-08,construcao_ferramentas_jardim,1286.19,35
2017-08,livros_tecnicos,1196.38,36
2017-08,construcao_ferramentas_construcao,1180.0,37
2017-08,fashion_roupa_masculina,1175.06,38
2017-08,fashion_underwear_e_moda_praia,1111.0,39
2017-08,audio,1050.7,40
2017-08,moveis_cozinha_area_de_servico_jantar_e_jardim,1006.2,41
2017-08,industria_comercio_e_negocios,956.9,42
2017-08,moveis_quarto,618.0,43
2017-08,construcao_ferramentas_iluminacao,589.0,44
2017-08,moveis_colchao_e_estofado,509.39,45
2017-08,alimentos_bebidas,494.81,46
2017-08,tablets_impressao_imagem,450.89,47
2017-08,sinalizacao_e_seguranca,377.8,48
2017-08,alimentos,364.5,49
2017-08,la_cuisine,313.0,50
2017-08,fashion_esporte,265.8,51
2017-08,artes,244.7,52
2017-08,fashion_roupa_feminina,188.7,53
2017-08,cds_dvds_musicais,135.0,54
2017-08,casa_construcao,124.8,55
2017-08,bebidas,119.9,56
2017-08,dvds_blu_ray,113.4,57
2017-08,agro_industria_e_comercio,88.0,58
2017-08,livros_importados,61.0,59
2017-08,artigos_de_natal,58.9,60
2017-08,casa_conforto_2,38.7,61
2017-08,portateis_casa_forno_e_cafe,21.9,62
2017-08,construcao_ferramentas_seguranca,8.9,63
2017-09,cama_mesa_banho,52105.61,1
2017-09,pcs,51228.89,2
2017-09,beleza_saude,50649.16,3
2017-09,esporte_lazer,48972.11,4
2017-09,relogios_presentes,44748.96,5
2017-09,cool_stuff,37547.47,6
2017-09,moveis_decoracao,30554.92,7
2017-09,brinquedos,29606.83,8
2017-09,informatica_acessorios,28040.65,9
2017-09,bebes,23232.45,10
2017-09,ferramentas_jardim,22028.43,11
2017-09,utilidades_domesticas,19941.56,12
2017-09,telefonia,18278.37,13
2017-09,automotivo,14126.77,14
2017-09,perfumaria,14051.3,15
2017-09,telefonia_fixa,13692.91,16
2017-09,fashion_bolsas_e_acessorios,11778.24,17
2017-09,eletroportateis,10030.74,18
2017-09,moveis_escritorio,9118.67,19
2017-09,pet_shop,8534.92,20
2017-09,instrumentos_musicais,8507.4,21
2017-09,consoles_games,8150.57,22
2017-09,papelaria,5851.52,23
2017-09,,5774.15,24
2017-09,casa_conforto,4592.34,25
2017-09,eletronicos,4338.96,26
2017-09,malas_acessorios,3885.38,27
2017-09,agro_industria_e_comercio,1993.99,28
2017-09,eletrodomesticos,1820.19,29
2017-09,climatizacao,1629.15,30
2017-09,eletrodomesticos_2,1627.8,31
2017-09,fashion_underwear_e_moda_praia,1619.9,32
2017-09,casa_construcao,1357.81,33
2017-09,moveis_sala,1275.87,34
2017-09,construcao_ferramentas_construcao,1240.3,35
2017-09,fashion_roupa_masculina,1177.5,36
2017-09,market_place,1147.21,37
2017-09,construcao_ferramentas_seguranca,1124.54,38
2017-09,fashion_calcados,1099.7,39
2017-09,audio,1042.59,40
2017-09,livros_tecnicos,1001.35,41
2017-09,alimentos,992.92,42
2017-09,livros_interesse_geral,932.24,43
2017-09,construcao_ferramentas_ferramentas,916.89,44
2017-09,moveis_quarto,709.6,45
2017-09,portateis_casa_forno_e_cafe,640.99,46
2017-09,sinalizacao_e_seguranca,438.4,47
2017-09,moveis_cozinha_area_de_servico_jantar_e_jardim,409.6,48
2017-09,artes,388.54,49
2017-09,fashion_esporte,384.6,50
2017-09,fashion_roupa_feminina,355.7,51
2017-09,alimentos_bebidas,310.86,52
2017-09,livros_importados,290.0,53
2017-09,artigos_de_festas,269.8,54
2017-09,artigos_de_natal,254.7,55
2017-09,construcao_ferramentas_jardim,251.6,56
2017-09,bebidas,244.98,57
2017-09,tablets_impressao_imagem,233.9,58
2017-09,construcao_ferramentas_iluminacao,229.0,59
2017-09,industria_comercio_e_negocios,219.98,60
2017-09,seguros_e_servicos,100.0,61
2017-09,fashion_roupa_infanto_juvenil,89.99,62
2017-09,moveis_colchao_e_estofado,86.5,63
2017-09,cine_foto,69.0,64
